rad (sigma) 0,rad (sigma) 1,df,alpha,p-vals,Npermutations
0.5,0.5,,0.05,,10000.0
1.5,0.5,,0.05,,10000.0
2.5,0.5,,0.05,,10000.0
3.5,0.5,,0.05,,10000.0
4.5,0.5,11.0,0.05,0.009804377480158732,10000.0
0.5,1.5,,0.05,,10000.0
1.5,1.5,,0.05,,10000.0
2.5,1.5,,0.05,,10000.0
3.5,1.5,,0.05,,10000.0
4.5,1.5,,0.05,,10000.0
0.5,2.5,,0.05,,10000.0
1.5,2.5,,0.05,,10000.0
2.5,2.5,,0.05,,10000.0
3.5,2.5,,0.05,,10000.0
4.5,2.5,,0.05,,10000.0
0.5,3.5,,0.05,,10000.0
1.5,3.5,,0.05,,10000.0
2.5,3.5,,0.05,,10000.0
3.5,3.5,,0.05,,10000.0
4.5,3.5,,0.05,,10000.0
0.5,4.5,11.0,0.05,0.009804377480158732,10000.0
1.5,4.5,,0.05,,10000.0
2.5,4.5,,0.05,,10000.0
3.5,4.5,,0.05,,10000.0
4.5,4.5,,0.05,,10000.0
