label,nVox,nVox_orig,task_sig,task_pos,tgt_theta_sig,tgt_theta_pos,sur_theta_sig,sur_theta_pos,loc_sig,loc_pos,ellipse_pos
102_V1_lh_rad10,1279,1279,0.47,1.00,0.29,0.77,0.45,0.79,0.34,0.31,0.66,
102_V1_rh_rad10,1833,1833,0.51,1.00,0.34,0.83,0.53,0.76,0.47,0.15,0.29,
161_V1_lh_rad10,1443,1448,0.58,1.00,0.28,0.86,0.56,0.90,0.26,0.29,0.59,
161_V1_rh_rad10,2759,2759,0.58,1.00,0.34,0.84,0.57,0.89,0.58,0.21,0.39,
256_V1_lh_rad10,1554,1554,0.78,1.00,0.50,0.94,0.74,0.97,0.62,0.24,0.82,
256_V1_rh_rad10,1981,1981,0.83,1.00,0.63,0.96,0.79,0.96,0.65,0.23,0.78,
328_V1_lh_rad10,2502,2502,0.66,1.00,0.44,0.90,0.62,0.93,0.67,0.20,0.92,
328_V1_rh_rad10,2370,2370,0.66,0.99,0.46,0.89,0.63,0.89,0.53,0.20,0.71,
510_V1_lh_rad10,1794,1794,0.86,1.00,0.79,0.92,0.84,0.93,0.84,0.33,0.88,
510_V1_rh_rad10,2785,2789,0.82,0.99,0.72,0.92,0.81,0.92,0.81,0.11,0.61,
739_V1_lh_rad10,2546,2546,0.78,0.99,0.65,0.94,0.77,0.96,0.84,0.24,0.81,
739_V1_rh_rad10,2183,2188,0.82,1.00,0.70,0.95,0.80,0.96,0.88,0.22,0.99,
756_V1_lh_rad10,2860,2860,0.65,1.00,0.39,0.83,0.62,0.89,0.70,0.32,0.85,
756_V1_rh_rad10,2456,2456,0.71,1.00,0.43,0.85,0.73,0.92,0.84,0.10,0.65,
