,condition,depth,radius_band,avg_accuracy,std_accuracy,nSubjects,p_raw,p_adj
0,iso0,deep,0-1,0.20017692307692309,0.05074499188278021,10,0.0016132117161461502,0.001814863180664419
1,iso0,deep,1-2,0.22184615384615386,0.06409453411243482,10,0.0014201448043798493,0.0016492004179895024
2,iso0,deep,2-3,0.23369615384615386,0.06869047457140022,10,0.001048274331045015,0.0013477812827721622
3,iso0,deep,3-4,0.2345692307692308,0.06144207440802123,10,0.00046242388527399197,0.0009248477705479839
4,iso0,deep,4-5,0.21624615384615384,0.06423061999061429,10,0.0021055422798695596,0.002296955214403156
5,iso0,deep,5-6,0.22578974358974357,0.06473458434450947,10,0.0011670939290439142,0.001400512714852697
6,iso0,middle,0-1,0.21335384615384614,0.051004110648947415,10,0.0005664236348612098,0.0010195625427501776
7,iso0,middle,1-2,0.2485692307692308,0.06731476255906012,10,0.000376720899815507,0.0008476220245848908
8,iso0,middle,2-3,0.2536602564102564,0.07093159149670261,10,0.00041013049638521855,0.0008685116394039923
9,iso0,middle,3-4,0.2486820512820513,0.06568088353195668,10,0.0003139103342395072,0.0008476220245848908
10,iso0,middle,4-5,0.231574358974359,0.06783259836092434,10,0.0010992218979146708,0.0013645513215492465
11,iso0,middle,5-6,0.21062435897435897,0.052449029466511206,10,0.0008504872288980693,0.0012086631243117948
12,iso0,superficial,0-1,0.2497269230769231,0.05698253710432254,10,0.00010317400145237666,0.0008459504712602516
13,iso0,superficial,1-2,0.2851166666666667,0.0724223065194078,10,9.562339617496255e-05,0.0008459504712602516
14,iso0,superficial,2-3,0.2841448717948718,0.07698233658629323,10,0.00015850920293453025,0.0008459504712602516
15,iso0,superficial,3-4,0.27359871794871793,0.07140542152071476,10,0.00015086028045831917,0.0008459504712602516
16,iso0,superficial,4-5,0.2602076923076923,0.08030998514917935,10,0.0006896721285858256,0.0011285543922313508
17,iso0,superficial,5-6,0.2476807692307693,0.07543827051166356,10,0.0008729233675585185,0.0012086631243117948
18,sur,deep,0-1,0.1943230769230769,0.05381456973575872,10,0.003820409945704194,0.003929564515581457
19,sur,deep,1-2,0.23543589743589743,0.08735250083260007,10,0.004264483159609641,0.004264483159609641
20,sur,deep,2-3,0.24994615384615382,0.06352975841141914,10,0.00022901379861985807,0.0008476220245848908
21,sur,deep,3-4,0.23895,0.05539564095205643,10,0.0001644903694117156,0.0008459504712602516
22,sur,deep,4-5,0.21864230769230772,0.05807051061276357,10,0.0009239866185697911,0.0012319821580930549
23,sur,deep,5-6,0.22305769230769235,0.05720532107278225,10,0.0006093209090035055,0.001044550129720295
24,sur,middle,0-1,0.22462179487179484,0.07153217995811044,10,0.0023829558625280797,0.0025231297367944374
25,sur,middle,1-2,0.24478717948717948,0.07274627224069845,10,0.0008023158013066905,0.0012086631243117948
26,sur,middle,2-3,0.28029230769230773,0.08329566343853687,10,0.00033726052652759207,0.0008476220245848908
27,sur,middle,3-4,0.2593641025641026,0.0731015136763607,10,0.00037329618227882567,0.0008476220245848908
28,sur,middle,4-5,0.24682307692307695,0.06565465974190346,10,0.00034892910117665196,0.0008476220245848908
29,sur,middle,5-6,0.22961025641025645,0.05267178001792239,10,0.00021316635606832637,0.0008476220245848908
30,sur,superficial,0-1,0.23780384615384617,0.0690010209764482,10,0.0008424702840935934,0.0012086631243117948
31,sur,superficial,1-2,0.2905012820512821,0.07808691684808816,10,0.0001315719511044291,0.0008459504712602516
32,sur,superficial,2-3,0.2869525641025641,0.07113699016099166,10,7.643953982651188e-05,0.0008459504712602516
33,sur,superficial,3-4,0.2745371794871795,0.07780267726379896,10,0.0002707824832931622,0.0008476220245848908
34,sur,superficial,4-5,0.2664217948717949,0.08130373354948793,10,0.0005504614044477933,0.0010195625427501776
35,sur,superficial,5-6,0.2640653846153846,0.07197130597646484,10,0.000260549510157428,0.0008476220245848908
